SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,AGE,FURNISH,amenity_luxury,FLOOR_NUM,PRICE
1611.0,341.0,3.0,1.0,1175,3.0,0.0,2.0,2.0,0.38
1098.0,223.0,2.0,1.0,776,1.0,1.0,1.0,2.0,0.28
1083.0,334.0,3.0,1.0,1256,3.0,3.0,2.0,2.0,0.6
1002.0,95.0,3.0,1.0,1671,3.0,2.0,2.0,2.0,1.75
1302.0,127.0,3.0,0.0,1429,1.0,1.0,2.0,1.0,0.55
844.0,269.0,2.0,1.0,960,0.0,0.0,2.0,2.0,0.43
1790.0,149.0,2.0,1.0,836,0.0,1.0,2.0,0.0,0.53
207.0,258.0,4.0,2.0,1794,2.0,3.0,2.0,1.0,0.99
207.0,258.0,2.0,1.0,1054,2.0,3.0,2.0,1.0,0.63
207.0,258.0,3.0,1.0,1170,2.0,3.0,2.0,1.0,0.54
1187.0,141.0,3.0,1.0,1039,2.0,3.0,2.0,1.0,0.88
1693.0,296.0,3.0,0.0,1200,1.0,3.0,2.0,2.0,0.45
842.0,15.0,5.0,0.0,3900,0.0,1.0,2.0,1.0,4.65
580.0,141.0,3.0,1.0,1328,0.0,1.0,1.0,0.0,1.22
378.0,141.0,3.0,1.0,1424,1.0,0.0,1.0,1.0,0.75
1700.0,334.0,2.0,1.0,825,2.0,0.0,1.0,2.0,0.39
1784.0,192.0,3.0,0.0,1500,3.0,1.0,2.0,2.0,0.48
654.0,199.0,1.0,1.0,800,1.0,0.0,1.0,1.0,0.38
1135.0,104.0,3.0,4.0,1116,2.0,0.0,2.0,0.0,1.92
892.0,63.0,2.0,1.0,865,1.0,0.0,2.0,2.0,0.28
1584.0,258.0,2.0,1.0,925,1.0,3.0,2.0,1.0,0.36
1808.0,391.0,4.0,2.0,1500,0.0,0.0,0.0,1.0,0.85
566.0,373.0,4.0,3.0,1750,0.0,1.0,1.0,1.0,1.0
1388.0,36.0,2.0,2.0,587,0.0,3.0,2.0,1.0,0.24
795.0,219.0,3.0,2.0,900,2.0,0.0,1.0,1.0,0.39
49.0,376.0,3.0,1.0,779,2.0,1.0,0.0,0.0,0.55
330.0,263.0,3.0,2.0,1160,0.0,1.0,1.0,1.0,0.6
831.0,394.0,2.0,1.0,840,3.0,2.0,2.0,1.0,0.6
1135.0,104.0,4.0,2.0,1490,2.0,3.0,2.0,1.0,2.2
