PROP_ID,PROPERTY_TYPE,SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,Price_per_sqft,PRICE,AGE,FURNISH,amenity_luxury,FLOOR_NUM,TOTAL_FLOOR
M71235674,flat,Arya altamount,Em Bypass,2.0,1.0,939,7500.0,0.7,Old Property,Unfurnished,246.0,1,18.0
G71261502,flat,Nirmala breeze,Dakshin Jagatdal,3.0,1.0,1021,3721.0,0.38,Old Property,Fully furnished,338.0,3,4.0
H70444552,flat,Diamond park exotica,Joka,2.0,1.0,798,3500.0,0.28,Relatively New Property,Fully furnished,539.0,2,4.0
L70771968,flat,Mission niketan,Sonarpur,3.0,2.0,1060,3773.0,0.4,Relatively New Property,Fully furnished,338.0,3,3.0
F70197110,flat,Manorama heights,Tollygunge,2.0,1.0,905,9060.0,0.82,Relatively New Property,Fully furnished,593.0,4,12.0
F70612160,flat,Mission niketan,Sonarpur,2.0,1.0,859,3725.0,0.32,Relatively New Property,Fully furnished,338.0,1,3.0
V70487206,flat,Tirupati paradise,Narendrapur,3.0,1.0,1166,3859.0,0.45,Relatively New Property,Fully furnished,594.0,3,4.0
F71378988,flat,Mayfair platinum,Baruipur,2.0,1.0,840,4523.0,0.38,Relatively New Property,Unfurnished,246.0,2,4.0
T71221494,flat,Meera apartment,Behala,3.0,1.0,1200,3000.0,0.4,New Property,Fully furnished,365.0,2,5.0
N70720286,flat,Lokenath view,Behala,2.0,0.0,975,3282.0,0.32,Moderately Old,Fully furnished,170.0,1,4.0
C70720002,flat,Akanksha apartment,Kestopur,2.0,1.0,805,3105.0,0.25,New Property,Luxury furnished,162.0,4,4.0
R65271550,flat,Suchetana apartment,Kestopur,2.0,1.0,933,4448.0,0.42,New Property,Luxury furnished,44.0,2,5.0
W70663224,flat,Merlin gangotri,Konnagar,2.0,1.0,750,6570.0,0.41,Old Property,Fully furnished,769.0,8,11.0
R70395434,flat,Matri mandir apartments,Madhyamgram,3.0,1.0,1325,4600.0,0.46,Old Property,Fully furnished,45.0,1,5.0
G69921686,flat,Jeevan niwas,New Alipore,1.0,1.0,620,6774.0,0.42,Moderately Old,Luxury furnished,340.0,4,4.0
L69974598,flat,Unknown,Dum Dum Park,2.0,0.0,750,3500.0,0.26,Relatively New Property,Fully furnished,24.0,2,4.0
